id,claim,words,claimed,verdict,holds_under,attestation,sources,note
C01,Dunya = Akhira,الدنيا / الآخرة,115 : 115,holds (lemma),"lemma; singular; singular definite; lemma, no pron suffix; singular, no pron suffix",flagship,Nawfal; Harun Yahya; Al-Suwaidan list; wikishia,The founding claim of the genre. Akhira side counts the feminine 'hereafter' within lemma A^xir (README 2.2).
C02,Mala'ika = Shayatin,الملائكة / الشياطين,88 : 88,holds (lemma),lemma,flagship,Nawfal; Harun Yahya; ar.wikipedia,
C03,Hayat = Mawt,الحياة / الموت,145 : 145,does not hold,,flagship,Al-Suwaidan list; Nawfal (per habous.gov.ma); pamphlets,Claimed 'with derivatives'; but root totals are 184/165 and no examined selection reaches 145 for either side.
C04,Rajul = Imra'a (24),رجل / امرأة,24 : 24,holds (uniform),singular,list,Al-Suwaidan list; answering-christianity,"Singular-only counts are 24/24; the lemmas total 29/26 and the suppletive plurals (rijal 28, nisa' 59) diverge."
C04b,"Rajul = Imra'a (23, 'chromosome pairs')",رجل / امرأة,23 : 23,does not hold,,viral,Quran Weekly; TikTok dawah accounts,The 23/23 telling (tied to human chromosome count) reproduces under no method; the 24/24 telling is the countable one.
C05,Salihat = Sayyi'at,الصالحات / السيئات,167 : 167,one side only,"B: root, all",list,Al-Suwaidan list; islamawareness,"Root swA = 167 exactly, but root SlH = 180 (171 excluding the prophet Salih's name); lemma counts are 62/36."
C06,Qul = Qalu,قل / قالوا,332 : 332,holds (uniform),grammatical selection,flagship,Nawfal; Questions on Islam; FUNCI,Holds for the categories the claim names: imperative 2MS 'say!' = 332 = perfect 3MP 'they said' (surface form qaAlu also = 332).
C07,Iblis = isti'adha,إبليس / الاستعاذة منه,11 : 11,one side only,"A: lemma; singular; lemma, no pron suffix; singular, no pron suffix",list,Islamhelpline; truth-seeker; pamphlets,"Iblis = 11 holds; refuge-seeking totals 17 (root Ew*). 11 needs the subset {Eu*o, >uEiy*u} — excluding the imperative ista'idh (4x) and ma'adh (2x), see 5.6."
C08,Zakat = Baraka,الزكاة / البركة,32 : 32,mixed methods only,"A: lemma; singular; lemma, no pron suffix; singular, no pron suffix | B: root, all",list,Harun Yahya; truth-seeker; WikiIslam (critique),"Mixed only: zakat = 32 at lemma level, baraka = 32 only at root level (lemma barakat = 3); same method on both sides never matches."
C09,Abrar : Fujjar = 6 : 3,الأبرار / الفجار,6 : 3,holds (uniform),exact form(s),list,Nawfal; Questions on Islam; FUNCI,"Holds at the exact-form level the claim names: abrar 6, fujjar 3. The fujjar lemma also has 1 ADJ occurrence (fajarapu, 80:42)."
C10,Yusr : Usr = 36 : 12,اليسر / العسر,36 : 12,one side only,"B: root, all",list,"Nawfal; IslamQA 69741 (critique, quoting al-Rumi)",Usr = 12 at root level; yusr's root totals 44 and its lemma 7 — nothing examined yields 36.
C11,Naf' = Fasad,النفع / الفساد,50 : 50,holds (uniform),"root, all",list,"ar.wikipedia ('derivatives, 50 each'); pamphlets","Holds at root level exactly: root nfE = 50, root fsd = 50. The claim's own wording ('derivatives') matches the root method."
C12,Nas = Anbiya',الناس / الأنبياء,50 : 50,does not hold,,weak,Quora Arabic lists; pamphlets,Nas = 241 and nabiy = 75 (root 160); no side is near 50.
C13,Muhammad = Sharia,محمد / شريعة,4 : 4,one side only,"A: lemma; singular; lemma, no pron suffix; singular, no pron suffix",weak,Quora Arabic lists; WikiIslam (critique),"Muhammad = 4 holds; sharia occurs once (shir'a once more, root 5) — 4 is not reachable."
C14,Iman = Kufr (25),الإيمان / الكفر,25 : 25,holds (uniform),"lemma, no pron suffix; singular, no pron suffix",list,"Harun Yahya lists; WikiIslam (critique, records the convention)","Lemmas are 45/37, but excluding pronoun-suffixed words ('their faith') gives exactly 25/25 — the convention critics reverse-engineered."
C15,Musiba = Shukr,مصيبة / شكر,75 : 75,one side only,"B: root, all",list,islamawareness; Daiyah pamphlet list,Root $kr = 75 exactly; root Swb = 77 (75 needs ad-hoc removal of SawaAb and Say~ib). Lemma musiba = 10.
C16,Jahr = 'Alaniya,الجهر / العلانية,16 : 16,holds (uniform),"root, all",list,islamawareness; Harun Yahya variant (18/18),"Holds at root level exactly: root jhr = 16, root Eln = 16. (The 18/18 variant telling reproduces under nothing.)"
C17,Harr = Bard (4),الحر / البرد,4 : 4,holds (lemma),lemma+variants,list,pamphlet lists; WikiIslam (critique),"Holds under lemma+variants (Harr+Haruwr = 4, barod+baArid = 4) — variant selectors declared in notebook 03 before this audit."
C17b,"Harr = Bard (5, 'summer/winter')",الحر / البرد,5 : 5,one side only,"B: root, all; root, nominal",list,Harun Yahya,"Bard's root = 5 only by including barad 'hail'; harr reaches 5 under nothing (root Hrr = 15 includes 'free person', 'silk')."
C18,Lisan = Maw'iza,لسان / موعظة,25 : 25,holds (uniform),"root, all",list,Harun Yahya; truth-seeker,"Holds at root level exactly: root lsn = 25 (a single-lemma root), root wEZ = 25. Lemma maw'iza alone = 9."
C19,Nabat = Shajar,نبات / شجر,26 : 26,mixed methods only,"A: root, all | B: lemma; singular; root, nominal",list,Harun Yahya,"Mixed only: nabat = 26 at root level (root nbt), shajar = 26 at lemma/nominal level (root $jr = 27 with the verb 'dispute', 4:65)."
C20,Jaza' : Maghfira = 117 : 234,جزاء / مغفرة,117 : 234,one side only,"B: root, all",list,Harun Yahya ('forgiveness twice recompense'),"Root gfr = 234 exactly; root jzy = 118 (117 needs ad-hoc removal of jizoyap 'poll tax', 9:29). One occurrence short of exact."
C21,Adam = Isa,آدم / عيسى,25 : 25,holds (lemma),"lemma; singular; lemma, no pron suffix; singular, no pron suffix",flagship,quranmiracles; masjidtucson (19 movement); mainstream dawah,Holds at lemma level; both proper nouns. Often linked to Q3:59 ('the likeness of Isa ... is as the likeness of Adam').
